artikel_id;datum;menge;bestand;lieferzeit_tage
ARBEITSSCHUH-HE-40-BG;2023-01-01;8;25;30
ARBEITSSCHUH-HE-40-BG;2023-02-01;8;25;30
ARBEITSSCHUH-HE-40-BG;2023-03-01;12;25;30
ARBEITSSCHUH-HE-40-BG;2023-04-01;11;25;30
ARBEITSSCHUH-HE-40-BG;2023-05-01;9;25;30
ARBEITSSCHUH-HE-40-BG;2023-06-01;8;25;30
ARBEITSSCHUH-HE-40-BG;2023-07-01;9;25;30
ARBEITSSCHUH-HE-40-BG;2023-08-01;9;25;30
ARBEITSSCHUH-HE-40-BG;2023-09-01;8;25;30
ARBEITSSCHUH-HE-40-BG;2023-10-01;9;25;30
ARBEITSSCHUH-HE-40-BG;2023-11-01;12;25;30
ARBEITSSCHUH-HE-40-BG;2023-12-01;12;25;30
ARBEITSSCHUH-HE-40-BG;2024-01-01;9;25;30
ARBEITSSCHUH-HE-40-BG;2024-02-01;9;25;30
ARBEITSSCHUH-HE-40-BG;2024-03-01;9;25;30
ARBEITSSCHUH-HE-40-BG;2024-04-01;13;25;30
ARBEITSSCHUH-HE-40-BG;2024-05-01;13;25;30
ARBEITSSCHUH-HE-40-BG;2024-06-01;9;25;30
ARBEITSSCHUH-HE-40-BG;2024-07-01;9;25;30
ARBEITSSCHUH-HE-40-BG;2024-08-01;11;25;30
ARBEITSSCHUH-HE-40-BG;2024-09-01;10;25;30
ARBEITSSCHUH-HE-40-BG;2024-10-01;10;25;30
ARBEITSSCHUH-HE-40-BG;2024-11-01;8;25;30
ARBEITSSCHUH-HE-40-BG;2024-12-01;13;25;30
ARBEITSSCHUH-HE-40-GR;2023-01-01;7;12;30
ARBEITSSCHUH-HE-40-GR;2023-02-01;8;12;30
ARBEITSSCHUH-HE-40-GR;2023-03-01;12;12;30
ARBEITSSCHUH-HE-40-GR;2023-04-01;10;12;30
ARBEITSSCHUH-HE-40-GR;2023-05-01;10;12;30
ARBEITSSCHUH-HE-40-GR;2023-06-01;8;12;30
ARBEITSSCHUH-HE-40-GR;2023-07-01;5;12;30
ARBEITSSCHUH-HE-40-GR;2023-08-01;14;12;30
ARBEITSSCHUH-HE-40-GR;2023-09-01;14;12;30
ARBEITSSCHUH-HE-40-GR;2023-10-01;11;12;30
ARBEITSSCHUH-HE-40-GR;2023-11-01;9;12;30
ARBEITSSCHUH-HE-40-GR;2023-12-01;13;12;30
ARBEITSSCHUH-HE-40-GR;2024-01-01;10;12;30
ARBEITSSCHUH-HE-40-GR;2024-02-01;6;12;30
ARBEITSSCHUH-HE-40-GR;2024-03-01;11;12;30
